doc_id,raw_doc_sha256,clean_sha256,game_title,lang,text_path,source_path,source_sha256,source_mime
0153e09a38f6803eb76ff69c1ffd9e0419c42076776102ef01f394acf706cf02,0153e09a38f6803eb76ff69c1ffd9e0419c42076776102ef01f394acf706cf02,3222109703f66491d7c2a307ab40a893628aa2ae04a8dff9593cd0cdebd9bc1d,44 котёнка. Кис-кис коты,ru,data/rules_texts_cleaned_good/0153e09a38f6803eb76ff69c1ffd9e0419c42076776102ef01f394acf706cf02.txt,data/rules_files/44cats_KisKisCats_rules.pdf,2f4ec28da2ff5f08d1388c4783d36f75709e9e5a8dd7e9970984f68826f2824b,application/pdf
017b4cb950ba7bb6e708e8e3757d3712f61969881fb090f484ac9eaf635bb1de,017b4cb950ba7bb6e708e8e3757d3712f61969881fb090f484ac9eaf635bb1de,b88e48c3dfabb68b73a5994353e9002b5d0e935076c502aae4edd078e1254829,Ктулху: Смерть может умереть,ru,data/rules_texts_cleaned_good/017b4cb950ba7bb6e708e8e3757d3712f61969881fb090f484ac9eaf635bb1de.txt,data/rules_files/cthulhu-death-may-die-rules.pdf,1f340accec267efee4696badd821bbf8194a499e34ef0e659e3eef9fd9341e67,application/pdf
01801dcea9383057f9b94c1c8275d54445c52c11c5f4ff3f29ad9e847a6e3ef4,01801dcea9383057f9b94c1c8275d54445c52c11c5f4ff3f29ad9e847a6e3ef4,2c15e2dc85f0dee63d752715e5d84f615b28d03f2ad5be902e1a72d2796dff9d,Энигма. Код Хаоса,ru,data/rules_texts_cleaned_good/01801dcea9383057f9b94c1c8275d54445c52c11c5f4ff3f29ad9e847a6e3ef4.txt,data/rules_files/Enigma_rules.pdf,e5f3ca1f655129f221f934b81409872cfb6a06c3dcfbe6c394635c770b4c556c,application/pdf
018958371ca85785b41bf31102c893effbf88e9dc7c915d2496b2d52ca5ead18,018958371ca85785b41bf31102c893effbf88e9dc7c915d2496b2d52ca5ead18,360b07d3c4da633171d72b5cc9e8d20313f0bd48fd06312a71576fde0862c984,Печенька 2.0,ru,data/rules_texts_cleaned_good/018958371ca85785b41bf31102c893effbf88e9dc7c915d2496b2d52ca5ead18.txt,data/rules_files/pechenka_pravila.pdf,12ec2fce3be45143f02ba36e4be8a036f7ecf60b579885dbf20745789bc67b6e,application/pdf
019dcf9c49c6c256890eb1fc57071435050c19767ec16ee2dde0e65dec181b84,019dcf9c49c6c256890eb1fc57071435050c19767ec16ee2dde0e65dec181b84,fcee39a8b67e4c6361738dd6ded64163a652a3ad3a6014cee71dc33db88e0d5f,Нечто: Из глубокой бездны,ru,data/rules_texts_cleaned_good/019dcf9c49c6c256890eb1fc57071435050c19767ec16ee2dde0e65dec181b84.txt,data/rules_files/536_251_Binder1.pdf,debbddeccdeb7325dfabf219a9d796475943a910c4d538447d174ef3951c16ac,application/pdf
019dcf9c49c6c256890eb1fc57071435050c19767ec16ee2dde0e65dec181b84,019dcf9c49c6c256890eb1fc57071435050c19767ec16ee2dde0e65dec181b84,fcee39a8b67e4c6361738dd6ded64163a652a3ad3a6014cee71dc33db88e0d5f,Нечто (2014),ru,data/rules_texts_cleaned_good/019dcf9c49c6c256890eb1fc57071435050c19767ec16ee2dde0e65dec181b84.txt,data/rules_files/536_251_Binder1.pdf,debbddeccdeb7325dfabf219a9d796475943a910c4d538447d174ef3951c16ac,application/pdf
019f03068850c909b72b46123090455ff53ed762a43dd203b29146a05e7d7ba9,019f03068850c909b72b46123090455ff53ed762a43dd203b29146a05e7d7ba9,ce0b83b24fdd4129a0587fb546f4c4857198b89ae740e83f551d55c878c353ea,Эрнесто Капибара,ru,data/rules_texts_cleaned_good/019f03068850c909b72b46123090455ff53ed762a43dd203b29146a05e7d7ba9.txt,data/rules_files/ernesto-kapibara-rules.pdf,7fc438b60688ea61e2962f5d16ab99eb46e65dec3b9ea283aae934b039738ad5,application/pdf
01b43978faef5d54203aa8653befa47e0b9c294925a31e5aff642c1029a9a1de,01b43978faef5d54203aa8653befa47e0b9c294925a31e5aff642c1029a9a1de,b9f6940f24bbe392dc82e0d9dd66c08772d65a9dc54a7ec79060629948a5a258,Покорение Марса. Проект Венера,ru,data/rules_texts_cleaned_good/01b43978faef5d54203aa8653befa47e0b9c294925a31e5aff642c1029a9a1de.txt,data/rules_files/Pravila_Proekta_Venera.pdf,eb0292ee747833d2070456bd272dd360f7f51418c462aaa25fdf3078a102015f,application/pdf
01d216be443dac90410da8a082cf1962de4054fadd3c5a0c31e3fc2a505d8429,01d216be443dac90410da8a082cf1962de4054fadd3c5a0c31e3fc2a505d8429,07a00f56c5b6d491a67b7ec79ee6961cd6d9ef9253379c9659ca3f4afd451100,Кровь и ярость. Боги Асгарда,ru,data/rules_texts_cleaned_good/01d216be443dac90410da8a082cf1962de4054fadd3c5a0c31e3fc2a505d8429.txt,data/rules_files/krov-i-jarost-bogi-asgarda-rules.pdf,a70742a042e27d6b4d6505cc52aaa17da5f6627a875bedf24e655e10497bd582,application/pdf
01ebaac0fb96b294b0de49eeb52afe12a61158ae9bae87518eab153206f61486,01ebaac0fb96b294b0de49eeb52afe12a61158ae9bae87518eab153206f61486,efd305f27f8426a24d7bfa8fef4e57129ddb02c81c33bc2cf0cdbe40e65f58bd,Викинги,ru,data/rules_texts_cleaned_good/01ebaac0fb96b294b0de49eeb52afe12a61158ae9bae87518eab153206f61486.txt,data/rules_files/vikingi-rules.pdf,053815eca67048e09f4d9caf4b43a9b630c9de2ea78f11bc439c05c2d2875e6c,application/pdf
