doc_id,raw_doc_sha256,clean_sha256,game_title,lang,text_path
0003ea7cf163c9f46ccec250538d6534b61e0ae154dccf33526be7d6eb0fefa3,0003ea7cf163c9f46ccec250538d6534b61e0ae154dccf33526be7d6eb0fefa3,39178c116c263c19c2edb56dd97fdb294774a0e4a89ed21f7919c89d9a82c463,Непостижимое: Кошмары из пучины,ru,data/rules_texts_cleaned_good/0003ea7cf163c9f46ccec250538d6534b61e0ae154dccf33526be7d6eb0fefa3.txt
0016fae7e723b578f4a90da39ef7b89b44005b1b2aae941e41ceeaba00c9c154,0016fae7e723b578f4a90da39ef7b89b44005b1b2aae941e41ceeaba00c9c154,66d16dcfcb0d0843e3e0d58af9b3333a25c8e314de90fd25eba7e8cf549e8330,Ужас Аркхэма: Тайное послание,ru,data/rules_texts_cleaned_good/0016fae7e723b578f4a90da39ef7b89b44005b1b2aae941e41ceeaba00c9c154.txt
0069240e8f0166a5794ecddc5d632ea27b15474a2d673352583c29f1696ae8ad,0069240e8f0166a5794ecddc5d632ea27b15474a2d673352583c29f1696ae8ad,81db5a4f59c2ec4c67491914d6a17993d7cb51e816644c0b1e09337fe797c947,Улицы,ru,data/rules_texts_cleaned_good/0069240e8f0166a5794ecddc5d632ea27b15474a2d673352583c29f1696ae8ad.txt
007cb730892ca66b97edec9bfa8a97b1198ada312cbb444d23fe057da9cf7e24,007cb730892ca66b97edec9bfa8a97b1198ada312cbb444d23fe057da9cf7e24,663bf69b526e238b844cf858ccac854195c8a3c4c9f2125da51afa0b87c41eff,Соображарий Турбо,ru,data/rules_texts_cleaned_good/007cb730892ca66b97edec9bfa8a97b1198ada312cbb444d23fe057da9cf7e24.txt
00af750628d8a950545d26c56bfcc5766d75c6dcbd24ae326ce3f92a63dca5cd,00af750628d8a950545d26c56bfcc5766d75c6dcbd24ae326ce3f92a63dca5cd,08eae9290ad7f61b9b0c757ffd774da38b5dc1b5ab07ca1dc57afb48947d9307,Древнее знание,ru,data/rules_texts_cleaned_good/00af750628d8a950545d26c56bfcc5766d75c6dcbd24ae326ce3f92a63dca5cd.txt
00b2ef0b02a771b328528f3dd37646b125e6645e4be07945ec523a2f31db614d,00b2ef0b02a771b328528f3dd37646b125e6645e4be07945ec523a2f31db614d,020f620e5a59fac6588eb72ca9836b5f63420d06a484ce21165bb29f39aa7da1,Воины Одина,ru,data/rules_texts_cleaned_good/00b2ef0b02a771b328528f3dd37646b125e6645e4be07945ec523a2f31db614d.txt
00c284e7fdecaccd5c3ccb63cddd700c3ab295fc0f15e71597f80869e1cc60d5,00c284e7fdecaccd5c3ccb63cddd700c3ab295fc0f15e71597f80869e1cc60d5,1ca5c847bea7f5a8b28a5d160608c4e731d41b985fef7bda807282f894bb3436,Испорченный телефон,ru,data/rules_texts_cleaned_good/00c284e7fdecaccd5c3ccb63cddd700c3ab295fc0f15e71597f80869e1cc60d5.txt
00c6eaa7d088934e1657c271403152aefb81ef4db4d24360433a80617f7f9519,00c6eaa7d088934e1657c271403152aefb81ef4db4d24360433a80617f7f9519,fac89a4fc2da910bff85149e96e7fcee01d4637e8d882eebaffb9e5d2269b679,Фиксики. Починялки,ru,data/rules_texts_cleaned_good/00c6eaa7d088934e1657c271403152aefb81ef4db4d24360433a80617f7f9519.txt
00e284b22e9bd096f7597b5efad332fc8968bd78cd654e597a62af324f258102,00e284b22e9bd096f7597b5efad332fc8968bd78cd654e597a62af324f258102,6aa924e1f56df02f01ec80ca6dd439e884f2706a3f42ab69406aafa92999d90d,Читай-Хватай English,ru,data/rules_texts_cleaned_good/00e284b22e9bd096f7597b5efad332fc8968bd78cd654e597a62af324f258102.txt
013b77e0bf0c9e7e95719dc63d8af591944ffa41d25ed802fb02fd9a88a91e9d,013b77e0bf0c9e7e95719dc63d8af591944ffa41d25ed802fb02fd9a88a91e9d,8beedaf227fed36d8fa9495a043cae26b4d546c0062d1ba28b8b14e3ba82a3f9,Ticket to Ride: Азия,ru,data/rules_texts_cleaned_good/013b77e0bf0c9e7e95719dc63d8af591944ffa41d25ed802fb02fd9a88a91e9d.txt
0153e09a38f6803eb76ff69c1ffd9e0419c42076776102ef01f394acf706cf02,0153e09a38f6803eb76ff69c1ffd9e0419c42076776102ef01f394acf706cf02,3222109703f66491d7c2a307ab40a893628aa2ae04a8dff9593cd0cdebd9bc1d,44 котёнка. Кис-кис коты,ru,data/rules_texts_cleaned_good/0153e09a38f6803eb76ff69c1ffd9e0419c42076776102ef01f394acf706cf02.txt
017b4cb950ba7bb6e708e8e3757d3712f61969881fb090f484ac9eaf635bb1de,017b4cb950ba7bb6e708e8e3757d3712f61969881fb090f484ac9eaf635bb1de,b88e48c3dfabb68b73a5994353e9002b5d0e935076c502aae4edd078e1254829,Ктулху: Смерть может умереть,ru,data/rules_texts_cleaned_good/017b4cb950ba7bb6e708e8e3757d3712f61969881fb090f484ac9eaf635bb1de.txt
01801dcea9383057f9b94c1c8275d54445c52c11c5f4ff3f29ad9e847a6e3ef4,01801dcea9383057f9b94c1c8275d54445c52c11c5f4ff3f29ad9e847a6e3ef4,2c15e2dc85f0dee63d752715e5d84f615b28d03f2ad5be902e1a72d2796dff9d,Энигма. Код Хаоса,ru,data/rules_texts_cleaned_good/01801dcea9383057f9b94c1c8275d54445c52c11c5f4ff3f29ad9e847a6e3ef4.txt
