doc_sha256,pdf_filename,pdf_url,text_path,primary_title,lang
4fffc1c8b365857c7f2ad1c04723f8d93b130bd65ff1aa58f0a39e5216841153,shava-shava-rules.pdf,https://www.mosigra.ru/download/rules/shava-shava-rules.pdf,data/rules_texts/4fffc1c8b365857c7f2ad1c04723f8d93b130bd65ff1aa58f0a39e5216841153.txt,Шава Шава,ru
8cf16bc08f633b9a26877fabe4045131095df830cd4406e3a1c987bf9e15f7de,atlandice-rules.pdf,https://www.mosigra.ru/download/rules/atlandice-rules.pdf,data/rules_texts/8cf16bc08f633b9a26877fabe4045131095df830cd4406e3a1c987bf9e15f7de.txt,Гибель Атлантиды,ru
7f7c11048bee815dcbe809608df32092a9cb5afc41d6e359ccca005758f2f315,8886_Azul_Mini_Rule_Book_compressed.pdf,https://www.mosigra.ru/download/Правила/8886_Azul_Mini_Rule_Book_compressed.pdf,data/rules_texts/7f7c11048bee815dcbe809608df32092a9cb5afc41d6e359ccca005758f2f315.txt,Азул. Мини,ru
e7b774052ac8d12e24f46a9b1b9a657fcc6c3f2e14341b7fefe15129412990c3,zombi-botanik.pdf,https://www.mosigra.ru/download/rules/zombi-botanik.pdf,data/rules_texts/e7b774052ac8d12e24f46a9b1b9a657fcc6c3f2e14341b7fefe15129412990c3.txt,Зомби в доме. Заражение: Ботаник,ru
58f417085a9aabd4b926f936c7971d652d88be5cd29d4c8e5f6b561a36ed5b56,trudvang-legendi-dikozeme-rules.pdf,https://www.mosigra.ru/download/rules/trudvang-legendi-dikozeme-rules.pdf,data/rules_texts/58f417085a9aabd4b926f936c7971d652d88be5cd29d4c8e5f6b561a36ed5b56.txt,Трудванг: Легенды. Дикоземье,ru
cbbbb8105ed768f9047bcec051cc1ab54987abc6c8c43ea862061430746b63af,prednaznachenie-vedmin-les-rules.pdf,https://www.mosigra.ru/download/rules/prednaznachenie-vedmin-les-rules.pdf,data/rules_texts/cbbbb8105ed768f9047bcec051cc1ab54987abc6c8c43ea862061430746b63af.txt,Предназначение: Ведьмин лес,ru
06e2b6022a9a04cd9d2fe31094c8e8aaf66cdc2f517c233fab39851e2e17e38f,momiji-rules.pdf,https://www.mosigra.ru/download/rules/momiji-rules.pdf,data/rules_texts/06e2b6022a9a04cd9d2fe31094c8e8aaf66cdc2f517c233fab39851e2e17e38f.txt,Момиджи,ru
bf016bd53d91afeb09d245c08798687d597cdc8ba5068b0dcf60400e1ccf0899,Liga_Detektivov-2022_Rules.pdf,https://www.mosigra.ru/download/Правила/Liga_Detektivov-2022_Rules.pdf,data/rules_texts/bf016bd53d91afeb09d245c08798687d597cdc8ba5068b0dcf60400e1ccf0899.txt,Лига детективов,ru
abd574b04b0d94cab6c7fbec7bef95c43e92eeb84b68cf5020cd4797bbb4c162,NOIR_Rulebook.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/560/981/NOIR_Rulebook.pdf,data/rules_texts/abd574b04b0d94cab6c7fbec7bef95c43e92eeb84b68cf5020cd4797bbb4c162.txt,Место преступления: Нуар,ru
34cdb2afe746948ef39c5e21dcbdec0dc8a72525477bf49f1f0f2a7d91762c16,perviy_kontakt.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/554/064/perviy_kontakt.pdf,data/rules_texts/34cdb2afe746948ef39c5e21dcbdec0dc8a72525477bf49f1f0f2a7d91762c16.txt,Первый контакт,ru
