raw_doc_sha256,clean_sha256,clean_text_path,lang,pdf_filename,pdf_url,text_path,raw_len,clean_len,survival_ratio,paragraphs_total,paragraphs_bad,paragraphs_bad_ratio,quarantine
0350661cd69eb215a2a44abb988fd410d936e80a1dfe4ba88b6cc25fe0139efa,07edd5147f68bb72503d31f72dc30c8e610cac3cd024103d2a76f288af708484,data/rules_texts_cleaned_good/0350661cd69eb215a2a44abb988fd410d936e80a1dfe4ba88b6cc25fe0139efa.txt,ru,Everdell_Ruchei_Deluxe_Pravila.pdf,https://www.mosigra.ru/download/Правила/Everdell_Ruchei_Deluxe_Pravila.pdf,data/rules_texts/0350661cd69eb215a2a44abb988fd410d936e80a1dfe4ba88b6cc25fe0139efa.txt,17504,17268,0.9865,10,0,0.0,0
0350ea30170a032b45f87a172884c81cc753c67ef4d6ef1544b834f21b821555,2c9d75cc1c5c38949980027378d58795214e5d6a4e6216bbde99fcf094bbb0bc,data/rules_texts_cleaned_good/0350ea30170a032b45f87a172884c81cc753c67ef4d6ef1544b834f21b821555.txt,ru,6609.pdf,https://www.mosigra.ru/download/Правила/6609.pdf,data/rules_texts/0350ea30170a032b45f87a172884c81cc753c67ef4d6ef1544b834f21b821555.txt,992,977,0.9849,2,0,0.0,0
035355975ba68391c0741a73310278e137f911d3d94e7c0cf95a41763be9ca35,bf5459bfc3851c2aac799ea34eee76feae2195dda18231fe9486831a67f3c627,data/rules_texts_cleaned_good/035355975ba68391c0741a73310278e137f911d3d94e7c0cf95a41763be9ca35.txt,ru,net_uzh_Rules.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/563/290/net_uzh_Rules.pdf,data/rules_texts/035355975ba68391c0741a73310278e137f911d3d94e7c0cf95a41763be9ca35.txt,6843,6526,0.9537,67,21,0.3134,0
038914b9fd708bfd624d4c50b9380c47a62e21ae43abd1f32e4289f7ad627548,ee163002c205220869b994f9d63187d5ac0988ad7aa45eaaf71bd185f9e135e9,data/rules_texts_cleaned_good/038914b9fd708bfd624d4c50b9380c47a62e21ae43abd1f32e4289f7ad627548.txt,ru,ostrov-vikingov-rules.pdf,https://www.mosigra.ru/download/rules/ostrov-vikingov-rules.pdf,data/rules_texts/038914b9fd708bfd624d4c50b9380c47a62e21ae43abd1f32e4289f7ad627548.txt,11242,10870,0.9669,106,11,0.1038,0
03b9197ae9a6a9adbd0890d0f623d0fbf6c8d083c3e8faf1e658be1c788c3528,dd5c0f0dfc5710a211b5f9c26fd74b3dc08d0f3bb0dafcf905624b852630b8d6,data/rules_texts_cleaned_good/03b9197ae9a6a9adbd0890d0f623d0fbf6c8d083c3e8faf1e658be1c788c3528.txt,ru,Сквайр.pdf,https://www.mosigra.ru/download/Правила/Сквайр.pdf,data/rules_texts/03b9197ae9a6a9adbd0890d0f623d0fbf6c8d083c3e8faf1e658be1c788c3528.txt,16265,15503,0.9532,14,0,0.0,0
03e919e0b5774208bee98d484d4e39e5a77743f1d7a2237b7787ac7e9c459bf6,139db1d73c3dad366c315d6610195d688d7a4d9c3b37f60311d6e4d4bd03a3d9,data/rules_texts_cleaned_good/03e919e0b5774208bee98d484d4e39e5a77743f1d7a2237b7787ac7e9c459bf6.txt,ru,kostumonstri-rules.pdf,https://www.mosigra.ru/download/rules/kostumonstri-rules.pdf,data/rules_texts/03e919e0b5774208bee98d484d4e39e5a77743f1d7a2237b7787ac7e9c459bf6.txt,4144,2675,0.6455,2,0,0.0,0
0448cbdf2fa46944dfca5156466eb454069f266da8bd03dbf53a5dd3ca94b00d,3db7709b492ebfc233e3f270806a641f10f5fed36f48e13473f72aa784b26892,data/rules_texts_cleaned_good/0448cbdf2fa46944dfca5156466eb454069f266da8bd03dbf53a5dd3ca94b00d.txt,ru,kriptidi-ostrova-rules.pdf,https://www.mosigra.ru/download/rules/kriptidi-ostrova-rules.pdf,data/rules_texts/0448cbdf2fa46944dfca5156466eb454069f266da8bd03dbf53a5dd3ca94b00d.txt,5242,4985,0.951,56,8,0.1429,0
044db64ee4a5c7e8154cd35f33bd3e976a5ad100c15982785b5dc69f8a5e080d,bbd8d4d34cdae8bd62c0015c1d936a27eff0d792fbe66a0d64f2731ad3593958,data/rules_texts_cleaned_good/044db64ee4a5c7e8154cd35f33bd3e976a5ad100c15982785b5dc69f8a5e080d.txt,en,dice-forge-rebellion-rules.pdf,https://www.mosigra.ru/download/rules/dice-forge-rebellion-rules.pdf,data/rules_texts/044db64ee4a5c7e8154cd35f33bd3e976a5ad100c15982785b5dc69f8a5e080d.txt,37438,33231,0.8876,46,0,0.0,0
0461144ed5eb87ed4286f445da2b2b1cf5d81868aec98de850e887bc97b8c49d,e10bf061500dbd434d4026a606e652f42fb6184dfe7cab99e84f79feae1bf155,data/rules_texts_cleaned_good/0461144ed5eb87ed4286f445da2b2b1cf5d81868aec98de850e887bc97b8c49d.txt,ru,pop1.pdf,https://www.mosigra.ru/download/rules/pop1.pdf,data/rules_texts/0461144ed5eb87ed4286f445da2b2b1cf5d81868aec98de850e887bc97b8c49d.txt,11250,11193,0.9949,108,2,0.0185,0
046fd983ca8d65a064e7d8b70fcdb2ba25008a7eff137b0b54dbd0f925b1ee9c,baa2f2a811264e3f02fa75cc224dd15d12266fa3fb9febe65237f9507ac9086e,data/rules_texts_cleaned_good/046fd983ca8d65a064e7d8b70fcdb2ba25008a7eff137b0b54dbd0f925b1ee9c.txt,ru,StarRealms_rules_rus_web.pdf,https://www.mosigra.ru/download/Правила/StarRealms_rules_rus_web.pdf,data/rules_texts/046fd983ca8d65a064e7d8b70fcdb2ba25008a7eff137b0b54dbd0f925b1ee9c.txt,17611,15960,0.9063,19,1,0.0526,0
047b26ae685b6b9ad437cdf5c254eab4fe0e8358398728754c9839e7990afeab,738c4cd8022d7d30d838a177a56594b3c371be703ac54709444e8f658bcaec43,data/rules_texts_cleaned_good/047b26ae685b6b9ad437cdf5c254eab4fe0e8358398728754c9839e7990afeab.txt,en,frosthaven-rules.pdf,https://www.mosigra.ru/download/rules/frosthaven-rules.pdf,data/rules_texts/047b26ae685b6b9ad437cdf5c254eab4fe0e8358398728754c9839e7990afeab.txt,226170,205074,0.9067,315,19,0.0603,0
0482d7deeccb24d5ed6babd8db1c52aacbc05b882f21643ad3a3200f4668b10b,4da8088acbb4c6068932993eae440717452d76ba7bdb86c5dafc50f7bbabcef4,data/rules_texts_cleaned_good/0482d7deeccb24d5ed6babd8db1c52aacbc05b882f21643ad3a3200f4668b10b.txt,ru,Similo_Istoriya_Pravila.pdf,https://www.mosigra.ru/download/Правила/Similo_Istoriya_Pravila.pdf,data/rules_texts/0482d7deeccb24d5ed6babd8db1c52aacbc05b882f21643ad3a3200f4668b10b.txt,6915,5363,0.7756,7,0,0.0,0
04a9b94732facc7c4f455f6d2f0390b342cbcae3e86f61fbd2bb1db7064be490,51368107dbf984bc83e1cac6eac66ef9ba0f0d841eab4ded2fa237010ebf12d9,data/rules_texts_cleaned_good/04a9b94732facc7c4f455f6d2f0390b342cbcae3e86f61fbd2bb1db7064be490.txt,ru,This War of Mine. Tales from the Ruined City.pdf,https://www.mosigra.ru/image/data/mosigra.product.other/556/229/This War of Mine. Tales from the Ruined City.pdf,data/rules_texts/04a9b94732facc7c4f455f6d2f0390b342cbcae3e86f61fbd2bb1db7064be490.txt,91942,90481,0.9841,8,0,0.0,0
