game_url,game_title,doc_sha256
https://www.mosigra.ru/kovarnij-lis/,Коварный Лис,b06cbebda27dbbd308e48c78e4325138cc461af05d066fea2e51a0818c8927c4
https://www.mosigra.ru/soobrazharij-podarochnoe-izdanie/,Соображарий: Подарочное издание,8ed15f79858c1d53370cf0a13a00dcd42a199e43eef48418be33ea25a9e8b499
https://www.mosigra.ru/iniciativa/,Инициатива,2ba4baeda38affbcb1360ce5ccfe94b44beaa4ba93361dacc1dad95ebf175926
https://www.mosigra.ru/jackal-treasure-island/,Шакал: Остров сокровищ,4475496db05d9a352b0c5f5045a69424886705789950ec1bdf58f2624c554ed4
https://www.mosigra.ru/kolt-jekspress-jubilejnoe-izdanie/,Кольт Экспресс: Юбилейное издание [Предзаказ],3ef29359e7f88e7de4c600ec9de9d3cd45d46491946def736d1faa0710c23f36
https://www.mosigra.ru/gzhel/,Гжель,33f1c330fba8bc656cecf305cd29c0fedff2086d1fc9268db619c088d2a2852c
https://www.mosigra.ru/hobby-karkasson-gift/,Каркассон. Королевский подарок,8d9df8a799a129e7e06f1b18d3cab35c77208367e6b6408a23be28b51bc1b962
https://www.mosigra.ru/zacharovannaja/,Зачарованная,4d3cfec930c5513a27888eee0e1aa5de3d40bc4aafa80584fddb1ddeba5706bf
https://www.mosigra.ru/vojni-chjornoj-rozi-vozrozhdenie/,Войны Чёрной Розы: Возрождение,0c8198208b43ee6fa73c2a5fc7673ea7c2d8f3d71857170f5f41fe45d0893e21
https://www.mosigra.ru/geroi-ii/,Герои II,b595debea17965c86813b75330ee8923d6b113276a8f99bd3f93dbd3d549aaac
https://www.mosigra.ru/cytadeli-deluks/,Цитадели Делюкс,1b5ab471c139007aed29186c9f2f59e6f53f99ca87a2b6d9a39d6aa6256b9bda
https://www.mosigra.ru/manchkin-big-boss/,Манчкин: Биг Босс [Предзаказ],f57e9bbd1463cb9fba2d93c54f16d9f9a3b0ad4a3581ba8aa32bd9090c7a6f02
https://www.mosigra.ru/obitel-tmi/,Обитель тьмы,af2022ce465ec6ec5d727c1c5fa9786a627560920e6e967075b2c330d5fc57d4
https://www.mosigra.ru/monstri-v-dome/,Монстры в доме,90941c836e1f5a4bd89fa8f9624de0babae9ec78c7e0da1c9f6bcac46d73d7aa
https://www.mosigra.ru/vremia-valery/,Время Валеры,31c8144d00f292583cbf15d46ed4110581b9331b350b149498fbe2c186a9bd35
https://www.mosigra.ru/bonsaj/,Бонсай,aaddbe05b55c8956cd55bee01a0199c4ce7d408459765705950b0fad4f1585ff
https://www.mosigra.ru/fury-of-dracula/,Ярость Дракулы,9e0e1d8f6a3c017bac9082674e80e88ce358ba1e81d6489662f2f6e7753e5b2a
https://www.mosigra.ru/kriptidi-v-poiskah-mificheskih-sushhestv/,Криптиды: В поисках мифических существ,37c574babb682e3fe9af689e16882e9403c2ddedb81e7099e402278352fb4e7d
https://www.mosigra.ru/uzhas-arkhjema-3-red/,Ужас Аркхэма. Третья редакция,db18aa15a62a67a91449577f0af030ca51791575b6e3c397aea6c773b0878470
https://www.mosigra.ru/stadnij-instinkt/,Стадный инстинкт,e6185cdf331a3b191957cc487337dc275dcc98318e4128e0e973decd07ee98db
https://www.mosigra.ru/karkasson-tumani-i-prizraki/,Каркассон: Туманы и призраки,81fea1fe57dc78e6e9c353904974077e0332c1cd8a2555673e9b2309a2af7eb0
https://www.mosigra.ru/lesnie-tajni/,Лесные тайны,43f0a3c0dd78e8ce5f108a3396d8b0932d2263f56dfc4587b060781dcf4354dc
https://www.mosigra.ru/chernaja-kniga/,Чёрная книга,8a77ca9a300b857078b178f69f5e7a23c3d9168533c7452bfe824829cc78786c
https://www.mosigra.ru/botanicheskij-sad/,Ботанический сад,3df4d8e4c513a8290b5d4247101da493b7ef93ec18cb89f6756b0a2737f96cd2
https://www.mosigra.ru/agrikola-ubilejnoe-izdanie/,Агрикола. Юбилейное издание [Предзаказ],ef339410cb87de0c93e7f3c78da858f2014d2fa1de5251de9eda923ab3bebb50
https://www.mosigra.ru/gnomyvred-deluxe/,Гномы-вредители. Делюкс,7df2348541e718027b74cc02a373bb092ed278d88eda59ff5e7405827be9713a
https://www.mosigra.ru/cyberpunk-2077-bandi-najt-siti/,Cyberpunk 2077: Банды Найт-Сити,0c424a50e52047e95370f99fc2439fb5f6acf150af5d8f8fb2dc298a55faac8a
https://www.mosigra.ru/small-world/,Маленький Мир,83e32530ddda62f9299069b468868aa595bb534f4a193d3068315dc3cc0fa14a
https://www.mosigra.ru/daj-skimo/,Дай-скимо,578030443aac0ce0c4abe54843c4fbcc13299934c5a7f2405f19d987a90b8765
https://www.mosigra.ru/nahodka-shpiona/,Находка для шпиона,7976793887d39e131463e79c951e10c93ae7a82e8f46768befca410b96fe39bd
https://www.mosigra.ru/jeverdell-ostrie-hrebti-deljuks/,Эверделл: Острые хребты. Делюкс,7866e33fba5b592ca14210539fe8ae7b90b1e73f2454f47aa14db8f696decc69
https://www.mosigra.ru/gribi-i-korni/,Грибы и корни,9107fd89b684ff9ca8c92513ef928732793c3e9ded4835e195dfffc4a96dba3b
https://www.mosigra.ru/moj-malenkij-jeverdell/,Мой маленький Эверделл,ef457fe38967e91d64b023d24bcb0d8a4dfebb8c908bda0c0761663bd7a94c29
https://www.mosigra.ru/golodnie-vedmochki/,Голодные ведьмочки,67d10e84c5a84eab35d9690c9432375e5a4825a8ae3e1be66532eb4422d39cd3
https://www.mosigra.ru/smeshannij-les-alpi/,Смешанный лес: Альпы,6e7c72d13da42516f45eccd789f9f4d4cb74fe395d0027e19cf7298100d5dc3a
https://www.mosigra.ru/chubriki/,Чубрики,3dc7c0dea1899cb3074bb5fe2249320ed0ec0af0a120d619745c6e3d1bf2813d
https://www.mosigra.ru/industrija/,Индустрия,117fb7fe78df038673fc69b4f136b3f612679a0927718c3b435dab50c0058b0e
https://www.mosigra.ru/bang/,Бэнг!,f5197ba314498fcaa6750b19fb9a75939aebe143da256b78e911d854ea91e65e
https://www.mosigra.ru/scythe/,Серп,88ba72e7a8ce9f5c23ef04d7838a96ad56c8ccc6c69d88722e33bd6e0fef6a22
https://www.mosigra.ru/mashkini-strashilki/,Машкины страшилки,83eb6e0c787f87b81d41da1dc13155397586a32a0e51bad8f8ca8cb547b02d22
https://www.mosigra.ru/vojni-chjornoj-rozi-dujel-zakon/,Войны Чёрной Розы: Дуэль. Закон,f59c34766a0d0205818c17a16d405331de1f7e77fad554972bbb8f6d030eb136
https://www.mosigra.ru/sem-chudes-duel/,7 чудес: Дуэль,bcbd23f10cc4b71e48606875ec809180f2f36d26fe3b49d6f0708663b0427657
https://www.mosigra.ru/djuna-vojna-za-arrakis/,Дюна: Война за Арракис,bc485fcbbc50346c705426da8b20d1d14063a20d43ac477109c7c192ea7a34f6
https://www.mosigra.ru/ticket-to-ride-amsterdam/,Ticket to Ride: Амстердам,8d5d54fcc045824eef83aa7eefce2b94b20b5e232ce5048a9387e68937158a59
https://www.mosigra.ru/sobachki/,Собачки,f36df33d5bd827c2f47fed07550df0f8234b85be2dab8cc174be71882c9080a3
https://www.mosigra.ru/rassvet/,Рассвет,06888f93602522931a196f2bbc3b968c4ff76253e1f379c01a08f10fa8eee6e0
https://www.mosigra.ru/karkasson-big-box/,Каркассон. Big Box,f810345149b82ec50737fc3f2b20272c8c32a94c43bb3a54a55f6680f48666a9
https://www.mosigra.ru/cherepashi-bega/,Черепашьи бега,f43119826a242c7546054e678ddc87467ae5307431c7f51e857d2fea77bf32f1
https://www.mosigra.ru/thrones/,Игра Престолов,5ef37f03ce8eb3e60f6b063366749223f9d963f31fb7f46371fcb74e15309154
https://www.mosigra.ru/buratino-bolshoe-puteshestvie/,Буратино: Большое путешествие [Предзаказ],de3f91b2016163967f9d08b3afe0df154155ed4934db3d671a9287ec790ad4b1
https://www.mosigra.ru/barabashki-v-zamke/,Барабашки в замке,e2a7c4debc3f6b38d9be4984ac9e8d370a239d1498528348af19703ad3deab8a
https://www.mosigra.ru/graviti-folz/,Гравити Фолз,1a9d497a558c4567c400401d9881b8a29fa1b8a290b44af90d725e4a5eb6cbe4
https://www.mosigra.ru/bolshaya-brodilka/,Большая Бродилка,a76c7fb73fbd125c52ee62c44dbe7430463656ecbfb8bd75cda34e6dde464c59
https://www.mosigra.ru/kuboprigi/,Кубопрыги,2b65de687f0c29281f5c652b2d8c9d2986cea72daab0b64737a0ef6d945415fa
https://www.mosigra.ru/bitba-za-rokugan/,Битва за Рокуган,ba82e3bc5830638629552c533d8f5aae786e60e2f5673cb4e6d587ea3d617872
https://www.mosigra.ru/ticket-to-ride-nasledie-legendi-zapada/,Ticket to Ride. Наследие: Легенды Запада,fcd2c49ee8154ce2e41282aa7a068e6fbda2054efe46e364e9d9e50078c8a688
https://www.mosigra.ru/prednaznachenie/,Предназначение,0d4c91a0883d7e47c1abcc233e621991a26a6c08a0d2b4bca43499f2e6ed8b25
https://www.mosigra.ru/face/show/adventuregames-korp-monohrom/,Adventure Games. Корпорация Монохром,5517cfd406b3481dab9ae94f46f7fa6ac177c88256a0c198538b988a89aa3949
https://www.mosigra.ru/ktulhu-smert-mozhet-umeret-strah-nevedomogo/,Ктулху: Смерть может умереть. Страх неведомого,5312f58a5b98e49ce20ad355fa30785b32153da829b2c11e92e3af1b48d266e7
https://www.mosigra.ru/zombicid-belaja-smert/,Зомбицид: Белая смерть,4707e751e53ec9406f30b7b64c44bbfa240b40efe42f1133b42a451517aa99c8
https://www.mosigra.ru/bjeng-legendi/,Бэнг! Легенды,7a89cba8e945a50fdfc9ca56cdfcbad2957c9e5caa9d78a50f20a33abf02c878
https://www.mosigra.ru/shtooka/,Штука,3ca1604a5953befd93b3988c4c9c08208ce9c23c1cf1b277046e16cd103581c3
https://www.mosigra.ru/svintus-etiket/,Свинтус. Правила этикета,294f33fe4f3d4be5d2e8f9f9593031dfd88b0d1da02e75ef0414267241fa5d7b
https://www.mosigra.ru/holodnoe-serdce-zacharovanniy-les/,Холодное сердце 2. Зачарованный лес,37b1e9d9b3d1a41c2ad5430c7482894d255ba0f0195cb1671ae32be9aeb2e915
https://www.mosigra.ru/sin-maminoj-podrugi/,Сын маминой подруги,519c44087998d4be8df8f1874e6400924f0a9e538aa6bb550dc2885eaa14dbe2
https://www.mosigra.ru/pisma-prizraka/,Письма призрака,c02291c15447cd0832203fb831bd0296d7eca2a068a3c05d0456c8c607931bca
https://www.mosigra.ru/mrachnaja-gavan-gloomhaven/,Gloomhaven. Мрачная Гавань,ec1cb8607092a81b2efdacadef1a6cada9883d83e04f6a61ea5c993369882c6f
https://www.mosigra.ru/zombi-v-dome-zarazhenie-jevakuacija/,Зомби в доме. Заражение: Эвакуация [Предзаказ],4adba9ac8727b7dc985eeaf99c2312aef9a169f73e6324c40af32fc787ac72b2
https://www.mosigra.ru/den-vozhdei/,День вождей,84465780861e6961a297e0ee6eda8d5355999b141d904f0fb3a467ceff026a1f
https://www.mosigra.ru/sudniy-den/,Судный день,d30f150bc47acddd27177f013d46c4d33d46bf2029a165ea2d4cf4ee2328b7f6
https://www.mosigra.ru/bunker-pokolenie-alfa/,Бункер: Поколение Альфа,46c5aca0c27ea178c04b7ef0173919cec26f17db6229f629b3db87552d09ac62
https://www.mosigra.ru/mrachnie-tanci/,Мрачные танцы,f16d562bda095ea66779ff29ec3d24ae33350b2676674f5a796c6185bc913d25
https://www.mosigra.ru/tickettoride-namerica/,Ticket to Ride: Северная Америка,424cfccc82537db694b3e77a1dbf14de528193128c8f6df34702e1c1045f5262
https://www.mosigra.ru/runebound-v-pautine/,Runebound. В паутине,2374a27086e1d3f6a7043d5ebb9a9d7ce0812ece1ee0495516d85eb821b7c65d
https://www.mosigra.ru/rummikub-v-penale/,Руммикуб в пенале,f779b1acba754960e2f238cb9b44ae1f0ccf0d6ae51edcf0ee7a7900cbc7a9d0
https://www.mosigra.ru/zoopark/,Зоопарк,6b996dd9004161dc2eeb8e17ae7fc6b42748c61a85d2e778e73b8352d444170a
https://www.mosigra.ru/magellan-krokodil/,Крокодил,5d573610bafaa9e5b212c513745aec6fa1dc2c90115e5ac6d09274a872323d53
https://www.mosigra.ru/spajsi/,Спайси,f26fde5d09b78cad2a3b0ea0ffe5c26867f2136ee97e79301c4915105bef0d47
https://www.mosigra.ru/imaginarium-detstvo/,Имаджинариум. Детство,2b4e332aae0218a07f4c3d08ef587ab86232b1597d5f2d1065c16649c3cd4459
https://www.mosigra.ru/drevniy-uzhas-mir-grez-2018/,Древний ужас: Мир Грёз (2018),1c178592392a38d181b2c5ccca5d94755bd9ce8d40928a3f02b5603c7cf5922c
