game_url,title,pdf_url,pdf_filename
https://www.mosigra.ru/koridor-mini/,Коридор мини,https://www.mosigra.ru/download/Правила/Koridor_mini_rules.pdf,Koridor_mini_rules.pdf
https://www.mosigra.ru/sherif-nottingema-vtoraja-redakcija/,Шериф Ноттингема. Вторая редакция,https://www.mosigra.ru/download/Правила/SHF004-Rulebook_RUS_compressed.pdf,SHF004-Rulebook_RUS_compressed.pdf
https://www.mosigra.ru/koridor-dlya-malyshei/,Коридор для малышей,https://www.mosigra.ru/image/data/mosigra.product.other/564/056/koridor_dlya_malyshei.pdf,koridor_dlya_malyshei.pdf
https://www.mosigra.ru/klumba/,Клумба,https://www.mosigra.ru/download/Правила/_Правила игры Клумба.pdf,_Правила игры Клумба.pdf
https://www.mosigra.ru/loskutnoe-korolevstvo/,Лоскутное королевство,https://www.mosigra.ru/image/data/mosigra.product.other/547/587/rules_kingdomino.pdf,rules_kingdomino.pdf
https://www.mosigra.ru/catan-seefahrer-2018/,Колонизаторы. Мореходы (2018),https://www.mosigra.ru/image/data/mosigra.product.other/549/909/0002CATAN_Seefahrer_Rules.pdf,0002CATAN_Seefahrer_Rules.pdf
https://www.mosigra.ru/unmatched-rodina-solnca/,Unmatched. Родина Солнца,https://www.mosigra.ru/download/rules/unmatched-rodina-solnca-rules.pdf,unmatched-rodina-solnca-rules.pdf
https://www.mosigra.ru/startups-ml/,Startups ML,https://www.mosigra.ru/download/rules/startups-rules.pdf,startups-rules.pdf
https://www.mosigra.ru/kollektivnij-razum/,Коллективный разум,https://www.mosigra.ru/download/rules/kollektivnyj-razum-rules.pdf,kollektivnyj-razum-rules.pdf
https://www.mosigra.ru/fruktovij-sad/,Фруктовый сад,https://www.mosigra.ru/download/Правила/Citrusovij_sad_Rules.pdf,Citrusovij_sad_Rules.pdf
https://www.mosigra.ru/jenciklopedija/,Энциклопедия,https://www.mosigra.ru/download/Правила/Encyclopedia_Rules.pdf,Encyclopedia_Rules.pdf
